"Index","LSBDS_avg_lambda","LSBDS_HPD0.05_lambda","LSBDS_HPD0.95_lambda","LSBDS_Quantile0.05_lambda","LSBDS_Quantile0.95_lambda","LSBDS_MAP_lambda","LSBDS_median_lambda","LSBDS_avg_mu","LSBDS_HPD0.05_mu","LSBDS_HPD0.95_mu","LSBDS_Quantile0.05_mu","LSBDS_Quantile0.95_mu","LSBDS_MAP_mu","LSBDS_median_mu","LSBDS_avg_div","LSBDS_HPD0.05_div","LSBDS_HPD0.95_div","LSBDS_Quantile0.05_div","LSBDS_Quantile0.95_div","LSBDS_MAP_div","LSBDS_median_div","RevBranches","BAMM_avg_lambda","BAMM_HPD0.05_lambda","BAMM_HPD0.95_lambda","BAMM_Quantile0.05_lambda","BAMM_Quantile0.95_lambda","BAMM_MAP_lambda","BAMM_median_lambda","BAMM_avg_mu","BAMM_HPD0.05_mu","BAMM_HPD0.95_mu","BAMM_Quantile0.05_mu","BAMM_Quantile0.95_mu","BAMM_MAP_mu","BAMM_median_mu","BAMM_avg_div","BAMM_HPD0.05_div","BAMM_HPD0.95_div","BAMM_Quantile0.05_div","BAMM_Quantile0.95_div","BAMM_MAP_div","BAMM_median_div","BammBranches","MTBD_avg_lambda","MTBD_HPD0.05_lambda","MTBD_HPD0.95_lambda","MTBD_Quantile0.05_lambda","MTBD_Quantile0.95_lambda","MTBD_MAP_lambda","MTBD_median_lambda","MTBD_avg_mu","MTBD_HPD0.05_mu","MTBD_HPD0.95_mu","MTBD_Quantile0.05_mu","MTBD_Quantile0.95_mu","MTBD_MAP_mu","MTBD_median_mu","MTBD_avg_div","MTBD_HPD0.05_div","MTBD_HPD0.95_div","MTBD_Quantile0.05_div","MTBD_Quantile0.95_div","MTBD_MAP_div","MTBD_median_div","ClaDS2_avg_lambda","ClaDS2_HPD0.05_lambda","ClaDS2_HPD0.95_lambda","ClaDS2_Quantile0.05_lambda","ClaDS2_Quantile0.95_lambda","ClaDS2_MAP_lambda","ClaDS2_median_lambda","ClaDS2_avg_mu","ClaDS2_HPD0.05_mu","ClaDS2_HPD0.95_mu","ClaDS2_Quantile0.05_mu","ClaDS2_Quantile0.95_mu","ClaDS2_MAP_mu","ClaDS2_median_mu","ClaDS2_avg_div","ClaDS2_HPD0.05_div","ClaDS2_HPD0.95_div","ClaDS2_Quantile0.05_div","ClaDS2_Quantile0.95_div","ClaDS2_MAP_div","ClaDS2_median_div","RevBranches.x","PESTO_lambda","RevBranches.y","PESTO_mu","PESTO_div","TipOrNode"
44,0.245791288381918,0.328273,0.0670037,0.08184651,0.3191965,0.260016042581819,0.257564,0.00253183489874376,0.0140964,2.68491e-12,1.080294e-06,0.014076545,1.33242989432765e-06,9.59764e-05,0.243259453483177,0.328240688,0.0666830318,0.07927934736,0.3158734823305,0.259571250368452,0.25522220325,32,0.279474945507364,0.37275,0.203402,0.212601,0.352785,0.268665744463341,0.279659,0.0328320742971624,0.0943692,2.9515e-06,0.00170572,0.0943521,0.00761335593877069,0.0223481,0.246642871210201,0.325212,0.1707187,0.181627,0.3118835,0.249209071588412,0.2484814,94,0.291047870993706,0.386284881904734,0.20744101772069,0.223478338437389,0.366932830507022,0.288227124692482,0.29008952399636,0.0410328653928746,0.105420679976924,0.00083175699511884,0.00588250037939138,0.105207491194972,0.0178886139973453,0.0317917897611454,0.250015005600832,0.337397290000577,0.172813029993792,0.184002728630253,0.317872937258815,0.244958019868422,0.249726928880773,0.169703150620916,0.368399881838201,0.0246895319162502,0.0550727335472694,0.357947297664115,0.124030085087155,0.147990191733773,0.0330926077471098,0.111859868918773,2.63928010711321e-05,0.00141545859616937,0.11180588590323,0.00703889834763351,0.0196712076549467,0.136610542873807,0.292368052153981,0.0120995153596692,0.0370653458483498,0.289683972099935,0.108696540366911,0.120255557993595,32,0.278361974389202,32,0.066306465008806,0.212055509380396,"Tip"
45,0.245957212903072,0.328576,0.0667392,0.08173978,0.31950155,0.260380395789587,0.257679,0.0025270735797195,0.0140665,2.68491e-12,1.0810475e-06,0.01406055,-2.02815166058932e-05,9.59044e-05,0.243430139323354,0.3286844815,0.06670303,0.07909947485,0.316050747955,0.259019168644687,0.255350255,31,0.279317877712403,0.369148,0.197909,0.211594,0.352785,0.268649118559039,0.279544,0.0332526329285738,0.0946699,2.9515e-06,0.00170572,0.0943692,0.00767076131891952,0.0225398,0.246065244783829,0.3271211,0.17139,0.180645,0.3112888,0.248867150678752,0.2483578,95,0.290904285542643,0.386583387314061,0.206807641510707,0.223282799700897,0.366965880525557,0.287807612546851,0.28988734158247,0.0412657890910242,0.105420679976924,0.00070190368935517,0.0059247055612018,0.105334720090211,0.0170072583981731,0.0318007379199284,0.24963849645162,0.338403924911521,0.172181586891103,0.183802925600566,0.317973607894612,0.247042361361187,0.249668689454835,0.169726132369292,0.357632842359206,0.0235258405343432,0.052785942239987,0.35090243052817,0.12293353736197,0.148852512561035,0.0326283562951765,0.105822262115272,1.73994908334166e-05,0.00148189996892025,0.105388399848197,0.00747253249785549,0.0200905912011153,0.137097776074115,0.287457135038942,0.00558801622138822,0.0363822048358596,0.28536605963027,0.102566045777474,0.120861734473441,31,0.27836197438959,31,0.0663064650086744,0.212055509380916,"Tip"
46,0.236046205025257,0.32463,0.059673,0.07145742,0.3171747,0.257821823311764,0.253732,0.00253983493422643,0.0142221,2.04555e-13,1.0752515e-06,0.0142171,-1.9657982264967e-06,9.59053e-05,0.233506370091032,0.320167728,0.0554542674,0.0689370681545,0.31429508234835,0.256467898504818,0.251547070455,30,0.275682552614566,0.378204,0.183642,0.204538,0.35204,0.26873418018204,0.277656,0.0326794136373821,0.0943692,2.9515e-06,0.00170572,0.0943521,0.0071579839813801,0.0221121,0.243003138977184,0.3488195,0.16783822,0.1717219,0.3107296,0.249163307218355,0.2473519,100,0.290271160357176,0.386284881904734,0.20744101772069,0.223432864893125,0.366793673667806,0.29124323258241,0.289951357455302,0.0407202259166387,0.104733745500402,0.00083175699511884,0.00596106365960019,0.104492559187534,0.017114337150987,0.0318062564568608,0.249550934440539,0.337521646249864,0.17264607513288,0.184002728630253,0.317764058223317,0.244434947204096,0.249691702906276,0.175180934704711,0.437099108414072,0.0149469034759824,0.040836008489385,0.431372131747027,0.0953584872280355,0.137212041542041,0.0351608749363395,0.12087680457412,1.04148415224287e-05,0.001339906357116,0.120577539311577,0.00815864373012072,0.0172833270014675,0.140020059768372,0.34081050941577,0.00717384104591277,0.0310597930553565,0.33943959601041,0.0809896686442917,0.108835003675444,30,0.269668277035688,30,0.0676145678645003,0.202053709171188,"Tip"
47,0.236096353525573,0.324525,0.0596833,0.071442775,0.3171438,0.258936518244532,0.253701,0.00253920604489993,0.0142177,2.04555e-13,1.076206e-06,0.01421364,4.10347303767775e-05,9.59659e-05,0.233557147480675,0.3211582683,0.056554836,0.0689299453305,0.3142905370825,0.255344894045159,0.25153980712,29,0.275646689660562,0.378204,0.181952,0.204,0.35204,0.268847256149107,0.277697,0.0326028389184518,0.0943692,2.1591e-05,0.00170572,0.0936791,0.00724634126901488,0.0219903,0.243043850742111,0.3488195,0.16783822,0.1717219,0.3107296,0.249211138780746,0.2473519,101,0.314818233686382,0.379613536729349,0.206807641510707,0.225354035267636,0.366793673667806,0.267560961282204,0.290377561629126,0.0487524651903549,0.105420679976924,0.00083175699511884,0.00594360567132627,0.105207491194972,0.0727120884575253,0.0318854824032908,0.266065768496028,0.332973677454788,0.17264607513288,0.186599993408264,0.317973607894612,0.25038742580906,0.249992185759189,0.173931312637601,0.433679652234049,0.0117003978087322,0.0416231750557266,0.42998412897816,0.0910387462647614,0.135974479691744,0.0360763277219966,0.126736273835891,1.16203616621184e-05,0.00125245899632455,0.12649422909056,0.00750572765073289,0.0173427212190729,0.137854984915605,0.341929852631111,0.00745517179341493,0.030567507556856,0.34056516997017,0.0739227399476835,0.108929874570661,29,0.269668277035688,29,0.0676145678645003,0.202053709171188,"Tip"
48,0.235643628420543,0.32463,0.0596833,0.07131851,0.31705985,0.25805739758878,0.2536275,0.0025538064516915,0.0142294,2.04555e-13,1.0784575e-06,0.014223205,0.00014054033764538,9.5936e-05,0.233089821968852,0.3211582683,0.0563621,0.0688111976205,0.314216400841,0.258130635812358,0.25139475335,28,0.275594030932997,0.37597,0.17904,0.203402,0.35204,0.268794312802131,0.277697,0.0327231506618706,0.0943692,2.9515e-06,0.00170572,0.0943521,0.00703297955358519,0.0221121,0.242870880271126,0.3447033,0.1614156,0.17139,0.3107296,0.249292064272285,0.2473519,102,0.291648528801516,0.383915168042272,0.208867476976494,0.224771281358409,0.367238405845509,0.290457117007653,0.290302930236364,0.0419485472551952,0.105755530508458,0.0008638605752185,0.00593542116056278,0.105419479159698,0.0213075380055438,0.0319657648264499,0.249699981546322,0.334547233282207,0.17264607513288,0.185802818364293,0.318253511652614,0.247360323105575,0.250020998077621,0.177050120389022,0.393052326007152,0.021785505689233,0.0515443686356351,0.388802483623088,0.109538091417709,0.150324947954952,0.0360287501214414,0.129332658880552,1.04507081815125e-05,0.00154475047138433,0.128931999660128,0.00789580758671507,0.0187477537161052,0.14102137026758,0.309885358496142,0.0126225801195128,0.0383254344857631,0.306380671705999,0.0722499082372952,0.120854503884077,28,0.268902216303085,28,0.0674210015190004,0.201481214784085,"Tip"
49,0.233588488507682,0.323668,0.059433,0.070618135,0.3162371,0.25741729872674,0.2528875,0.00254807738090101,0.0142177,2.04555e-13,1.076206e-06,0.01421364,-1.47997376183268e-05,9.623565e-05,0.231040411126782,0.3188080759,0.05487559758,0.0681010072755,0.313371042,0.255857789983697,0.25043786985,27,0.275219212301372,0.378204,0.183642,0.204538,0.351831,0.268388461779199,0.277656,0.0325983859156111,0.0943692,2.9515e-06,0.00170572,0.0943521,0.00702239866676286,0.0222259,0.242620826385761,0.3476669,0.16783822,0.1717219,0.3104265,0.248587574135875,0.247403,103,0.291843554269813,0.383852909251315,0.209509285048402,0.224865858764194,0.367154290489393,0.29165398752386,0.290286263405546,0.0414516421975144,0.105420679976924,0.00070190368935517,0.00603037813696452,0.105334720090211,0.0163448774947203,0.0320689577719649,0.250391912072299,0.334063812160142,0.172813029993792,0.185864898487174,0.318067163171071,0.245036200474313,0.24996958642132,0.175048751638308,0.366975500996873,0.0354140838668131,0.0623714493126817,0.359284243302113,0.121767309334638,0.154269002443367,0.0353149625114702,0.116469168528519,1.86442928080538e-05,0.00154145120285179,0.116428220189432,0.00790705122888894,0.0200786435378403,0.139733789126837,0.295042811608588,0.0193801105485851,0.0451830774029819,0.290593112064701,0.0934875788335128,0.124837203633178,27,0.264750012851774,27,0.066976021521877,0.197773991329897,"Tip"
50,0.228852089009682,0.322831,0.0554556,0.066970815,0.31514155,0.258344489652446,0.251376,0.00254566345830887,0.0142535,2.04555e-13,1.0801765e-06,0.01424455,8.42750550821476e-06,9.656895e-05,0.226306425551374,0.32105366436,0.05435112304,0.0645587320725,0.3122938247,0.256531980597325,0.24897328664,26,0.274234714968674,0.375551,0.177452,0.200894771853364,0.351242,0.267398722077524,0.277371,0.0317932309255185,0.0943692,2.1591e-05,0.00170572,0.0936791,0.00754039708209967,0.0218924,0.242441484043156,0.344126751,0.160656,0.1709101,0.3104265,0.249184692733406,0.2473519,105,0.292847631460088,0.379560815900513,0.208575008551778,0.226469993397311,0.367477915993562,0.293050747998021,0.290834558192079,0.0413612097855873,0.105420679976924,0.00083175699511884,0.00600334223557705,0.105207491194972,0.0171098674975252,0.0319598438829446,0.251486421674502,0.331378635805375,0.172989786204537,0.187758743805585,0.318439704723388,0.243483474492341,0.250245965426905,0.14155795307693,0.310944257192432,0.0226703309255147,0.043455382689507,0.3044231384177,0.101399003924459,0.122587582139112,0.0273285546384286,0.089928125850191,1.63097379671457e-05,0.00131332103550708,0.0897989105372978,0.0059044963904684,0.0165184180843887,0.114229398438501,0.252679418636902,0.00972913875563887,0.0311442769703106,0.250253073724154,0.0913691141556629,0.0998186847754382,26,0.255621482936517,26,0.0671654913599891,0.188455991576528,"Tip"
51,0.228663623014628,0.324489,0.0576395,0.06708578,0.3147197,0.258266417514594,0.2511595,0.00255851124878717,0.0142864,2.04555e-13,1.076206e-06,0.01426948,4.4562216386091e-05,9.63996e-05,0.226105111765842,0.32105366436,0.054843731,0.0645855331,0.312040927494,0.256195015768712,0.24878555063,25,0.274617575893297,0.377962,0.177452,0.201052,0.351831,0.268549683429858,0.277697,0.0321681574883395,0.0943692,2.9515e-06,0.00170572,0.0943521,0.00741895592976464,0.0222259,0.242449418404958,0.3476669,0.16783822,0.1717967,0.3100282,0.248294448194073,0.2473519,106,0.296566379369655,0.381433306450694,0.209509285048402,0.225785042993638,0.366965880525557,0.296566379369655,0.290464619841585,0.0409058571165828,0.105043961686643,0.00070190368935517,0.00599050358203733,0.104825961012643,0.0171488710185225,0.0319598438829446,0.255660522253073,0.331378635805375,0.171934206649684,0.18683286798767,0.318067163171071,0.228879817009685,0.250176022263024,0.142848169386687,0.29789199817078,0.0141248463176083,0.0451050646456532,0.29564856088666,0.101747746803973,0.125842353030189,0.027807270937021,0.0885620805427704,1.73672492327796e-05,0.00125327615593486,0.0882599150455779,0.00567294060254928,0.0165997621210604,0.115040898449666,0.248892254546756,0.0125212740995124,0.031042509129368,0.243878001034386,0.0930204149300905,0.102932040844286,25,0.255621482936517,25,0.0671654913599891,0.188455991576528,"Tip"
52,0.086271781786992,0.241717,0.0385931,0.04935338,0.23295665,0.0664490260267302,0.0702985,0.0024486932104682,0.0137887,3.3639e-16,1.0812565e-06,0.013787015,9.30841375891608e-05,9.970745e-05,0.0838230885765234,0.2414778162,0.036931,0.04735759872,0.2306281349655,0.0635488688165288,0.06827378044,24,0.127637996668329,0.300187,0.0460087,0.0530352,0.293201,0.071863472109632,0.0807909,0.0227699793737573,0.0712492,2.9515e-06,0.0010726,0.0712059,0.00557877798893786,0.0142093,0.104868017294571,0.26487232,0.0274225,0.0375942,0.2551222,0.0571086225853851,0.063901,108,0.292207785036267,0.379294003755515,0.20744101772069,0.226185218621541,0.367238405845509,0.290982491355779,0.290611143725359,0.0410962374548189,0.105420679976924,0.00075189188886017,0.00591248434403855,0.105207491194972,0.0166133796636678,0.0319579471355283,0.251111547581449,0.331378635805375,0.172862568792902,0.187553401943769,0.318320477012989,0.244431810067142,0.250199326120447,0.112531974689948,0.221851144130434,0.0154651673555225,0.0372835022792808,0.219372855140274,0.0786219032774,0.101912474070107,0.0224450873485766,0.0721986048141834,8.76570630607882e-06,0.000970198346597242,0.0721406014674754,0.00462605586816707,0.0133010134784098,0.0900868873413717,0.181520058205774,0.0103331769530264,0.0258738354870753,0.176816213749683,0.0688836017874011,0.0827161185436344,24,0.140109002930743,24,0.0626919287103319,0.0774170742204115,"Tip"
53,0.0863737013981686,0.240167,0.0376058,0.049566615,0.23295665,0.0664081869874975,0.0703459,0.00245943532303041,0.0138399,3.3639e-16,1.081246e-06,0.01382062,0.000101561609247421,9.95826e-05,0.0839142660751379,0.239005897,0.03545309,0.0474504975,0.2304685069235,0.0641941703714799,0.0683219745,23,0.12776194706438,0.299206,0.0463746,0.0533473,0.292979831718291,0.0714731285014598,0.0807909,0.0229552629670254,0.071369,2.9515e-06,0.0010726,0.0712492,0.00561645201431136,0.0140822,0.104806684097354,0.2678536,0.030631,0.0376334,0.2551222,0.0570974244988951,0.06404424,109,0.29275546428405,0.379613536729349,0.209509285048402,0.226469993397311,0.367203101004061,0.29197820807025,0.290844763911364,0.0411325425859528,0.10562122352302,0.00091326770555663,0.00599050358203733,0.105334720090211,0.0169167676842171,0.0319598438829446,0.251622921698098,0.331378635805375,0.173644772516572,0.187983057469856,0.318320477012989,0.245183808736774,0.250287402511826,0.11272763176669,0.234827636274985,0.0236834658031972,0.0370514141804533,0.227137247432181,0.0868361539532698,0.100643637597868,0.0223917234848371,0.0729956312385759,8.62419234083038e-06,0.0011114961038624,0.0729418371716245,0.00538753109938871,0.012937202569746,0.0903359082818528,0.180710812120076,0.00868370860690461,0.0264019083807341,0.179007174870366,0.0674537118845438,0.0819741170073134,23,0.140109002930743,23,0.0626919287103319,0.0774170742204115,"Tip"
